participant_id,block_id,block_type,task_id,start_timestamp,reaction_time,clicked_timestamp,completion_time,end_timestamp,errors,task_code,block_data
19,1,4,4,1711617624.591915,0.7473390999999765,1711617625.339254,30.422582775000024,1711617655.7618368,0,MAV#0274,"[np.float64(1711617474.906368), 320.162109375, np.float64(1711617795.0684774)]"
19,1,4,5,1711617658.765743,0.5082343750000007,1711617659.2739773,27.46246875,1711617686.7364461,0,MAV#7001,"[np.float64(1711617474.906368), 320.162109375, np.float64(1711617795.0684774)]"
19,1,4,6,1711617690.7416394,1.1881661250000093,1711617691.9298055,30.740234375,1711617722.67004,0,MAV#5649,"[np.float64(1711617474.906368), 320.162109375, np.float64(1711617795.0684774)]"
19,1,4,7,1711617727.6732266,0.5534537249999971,1711617728.2266805,23.45436007500001,1711617751.6810405,0,MAV#8880,"[np.float64(1711617474.906368), 320.162109375, np.float64(1711617795.0684774)]"
19,1,4,8,1711617752.6934774,0.96875,1711617753.6622274,16.97265625,1711617770.6348836,2,MAV#8214,"[np.float64(1711617474.906368), 320.162109375, np.float64(1711617795.0684774)]"
19,1,4,9,1711617773.640743,0.494140625,1711617774.1348836,20.509765625,1711617794.6446493,4,MAV#0065,"[np.float64(1711617474.906368), 320.162109375, np.float64(1711617795.0684774)]"
19,2,2,1,1711617952.587695,1.5608605250000096,1711617954.1485555,17.8984375,1711617972.046993,0,MAV#5747,"[np.float64(1711617952.5856948), 348.402704375, np.float64(1711618300.9883993)]"
19,2,2,2,1711617975.0528524,0.4769413000000213,1711617975.5297935,16.30821494999998,1711617991.8380086,0,MAV#8694,"[np.float64(1711617952.5856948), 348.402704375, np.float64(1711618300.9883993)]"
19,2,2,3,1711617995.841915,0.921875,1711617996.76379,11.953435300000024,1711618008.717225,0,MAV#8571,"[np.float64(1711617952.5856948), 348.402704375, np.float64(1711618300.9883993)]"
19,2,2,4,1711618009.7208211,0.725843149999946,1711618010.446664,24.99759180000001,1711618035.444256,0,MAV#7369,"[np.float64(1711617952.5856948), 348.402704375, np.float64(1711618300.9883993)]"
19,2,2,5,1711618036.446664,1.434964500000092,1711618037.8816288,17.86601829999995,1711618055.747647,0,MAV#0868,"[np.float64(1711617952.5856948), 348.402704375, np.float64(1711618300.9883993)]"
19,2,2,6,1711618060.7513516,0.9826452000000928,1711618061.7339969,21.17794419999996,1711618082.911941,0,MAV#9436,"[np.float64(1711617952.5856948), 348.402704375, np.float64(1711618300.9883993)]"
19,2,2,7,1711618083.9161336,0.5820950500000208,1711618084.4982285,14.83156299999996,1711618099.3297915,0,MAV#7599,"[np.float64(1711617952.5856948), 348.402704375, np.float64(1711618300.9883993)]"
19,2,2,8,1711618101.3341024,1.044921875,1711618102.3790243,20.244140625,1711618122.623165,0,MAV#4373,"[np.float64(1711617952.5856948), 348.402704375, np.float64(1711618300.9883993)]"
19,2,2,9,1711618123.6263516,0.8801548999999795,1711618124.5065067,20.837361325000074,1711618145.343868,0,MAV#8034,"[np.float64(1711617952.5856948), 348.402704375, np.float64(1711618300.9883993)]"
19,2,2,10,1711618150.3477743,0.798828125,1711618151.1466024,15.12890625,1711618166.2755086,0,MAV#7112,"[np.float64(1711617952.5856948), 348.402704375, np.float64(1711618300.9883993)]"
19,2,2,11,1711618169.2785602,1.0802854999999454,1711618170.3588457,15.463537950000044,1711618185.8223836,0,MAV#0084,"[np.float64(1711617952.5856948), 348.402704375, np.float64(1711618300.9883993)]"
19,2,2,12,1711618186.8294766,1.049547475000054,1711618187.8790243,14.17578125,1711618202.0548055,0,MAV#7812,"[np.float64(1711617952.5856948), 348.402704375, np.float64(1711618300.9883993)]"
19,2,2,13,1711618203.0580337,0.5768497500000649,1711618203.6348836,14.681640625,1711618218.3165243,0,MAV#7427,"[np.float64(1711617952.5856948), 348.402704375, np.float64(1711618300.9883993)]"
19,2,2,14,1711618221.3250663,1.0969266250000371,1711618222.421993,12.591796875,1711618235.01379,0,MAV#4581,"[np.float64(1711617952.5856948), 348.402704375, np.float64(1711618300.9883993)]"
19,2,2,15,1711618236.0176961,0.5625,1711618236.5801961,13.115234375,1711618249.6954305,0,MAV#6784,"[np.float64(1711617952.5856948), 348.402704375, np.float64(1711618300.9883993)]"
19,2,2,16,1711618254.7051961,0.5021026500000971,1711618255.2072988,45.12999049999985,1711618300.337289,0,MAV#9651,"[np.float64(1711617952.5856948), 348.402704375, np.float64(1711618300.9883993)]"
19,3,3,1,1711618369.171993,0.93359375,1711618370.1055868,34.46395952499995,1711618404.5695462,0,MAV#8951,"[np.float64(1711618369.17004), 355.7382812500001, np.float64(1711618724.9083211)]"
19,3,3,2,1711618437.57629,1.5840220000000045,1711618439.1603117,27.328087375,1711618466.4883993,0,MAV#8069,"[np.float64(1711618369.17004), 355.7382812500001, np.float64(1711618724.9083211)]"
